{	{	(	.	NNP	(	NN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
{	{	(	.	NNP	(	NN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
cleanup	cleanup	NN	(	(	)	)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
}	}	)	NN	(	)	(	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
}	}	)	NN	(	)	(	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
{	{	(	.	NNP	(	NN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
{	{	(	.	NNP	(	NN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
pov	pov	VB	(	(	)	)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
}	}	)	NN	(	)	(	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
}	}	)	NN	(	)	(	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
{	{	(	.	NNP	(	NN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
{	{	(	.	NNP	(	NN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Infobox	infobox	NNP	(	(	NNP	NN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
MLB	mlb	NNP	NNP	(	NN	#	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
player|bgcolor1=	player|bgcolor1=	NN	NNP	NNP	#	CD	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
#	#	#	NN	NNP	CD	#	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
083884|bgcolor2=	083884|bgcolor2=	CD	#	NN	#	NNP	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
#	#	#	NN	NNP	CD	#	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
EE1422|textcolor1=white|textcolor2=white|name=Carlos	ee1422|textcolor1=white|textcolor2=white|name=carlos	NNP	#	CD	NNP	.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Zambrano|image=Cubs-Carlos_Zambrano2	zambrano|image=cubs-carlos_zambrano2	NNP	NNP	#	.	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
.	.	.	NNP	NNP	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
{	{	(	.	NNP	(	NN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
{	{	(	.	NNP	(	NN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
cleanup	cleanup	NN	(	(	)	)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
